model,seed,QTLs,current_fitness,future_fitness,causal_offset,causal_confounded_offset,empirical_offset,empirical_confounded_offset,causal_random_1_offset,causal_random_6_offset,causal_random_11_offset,causal_random_16_offset,causal_random_21_offset,causal_random_26_offset,causal_random_31_offset,causal_random_36_offset,causal_random_41_offset,causal_random_46_offset,causal_random_51_offset,causal_random_61_offset,causal_random_66_offset,causal_random_56_offset
m4.1,s100,100,0.974561,0.833777,0.31149284264863897,0.12414374604835554,0.35910226123713596,0.12414374604835554,0.17257025386532351,0.17485367579306613,0.20222515816374176,0.4593769065313439,0.35579048909548594,0.5212272847642364,NA,NA,NA,NA,NA,NA,NA,NA
m4.1,s100,100,0.994707,0.859517,0.192969104547547,0.09252635634996727,0.22246303061959677,0.09252635634996727,0.10749782501781235,0.14368406465591868,0.19646487246895633,0.365124686929792,0.2805279444491891,0.4367451227021661,NA,NA,NA,NA,NA,NA,NA,NA
m4.1,s100,100,0.981053,0.450293,0.5153935847832309,0.19644787099843544,0.5941677508511461,0.19644787099843544,0.28817799203561695,0.3652739318585427,0.35033870375280557,0.5872659732406968,0.5803994004011531,1.0816187672260125,NA,NA,NA,NA,NA,NA,NA,NA
m4.1,s100,100,0.990044,0.602821,0.5954815276544305,0.22725218102882128,0.6864965541017526,0.22725218102882128,0.3290512261753384,0.32832304888754293,0.3493599018481564,0.6062889323085819,0.42877722480004726,0.8814305935169373,NA,NA,NA,NA,NA,NA,NA,NA
m4.1,s100,100,0.992202,0.985775,0.03919130861860118,0.13816189550465213,0.04518141548972002,0.13816189550465213,0.023278583743166572,0.03317875658056843,0.04934404618199918,0.0941983094560106,0.044916023507602196,0.08685350495846941,NA,NA,NA,NA,NA,NA,NA,NA
m4.1,s100,100,0.9994,0.737726,0.25119512714139985,0.12700600631637796,0.2895884778642463,0.12700600631637796,0.13901228677118962,0.15269183929718114,0.16473689687391527,0.2835898779601953,0.1781975914212155,0.25322827285130783,NA,NA,NA,NA,NA,NA,NA,NA
m4.1,s100,100,0.999952,0.814554,0.1798473087327156,0.07128882859511484,0.20733566361966504,0.07128882859511484,0.10020440742940101,0.11549177031658417,0.15318099488017822,0.27214664713715464,0.18274051247986772,0.344703543945706,NA,NA,NA,NA,NA,NA,NA,NA
m4.1,s100,100,0.996916,0.885795,0.07745980807223936,0.18790181831756633,0.08929897713608746,0.18790181831756633,0.042904066393112394,0.07388952406229746,0.06958048452222089,0.14579446972200857,0.08868337385257864,0.21647951894827858,NA,NA,NA,NA,NA,NA,NA,NA
m4.1,s100,100,0.996375,0.983262,0.0043883196930881874,0.0018130788324042715,0.005059042485277817,0.0018130788324042715,0.005728578889762256,0.012032985528036975,0.044470061857948294,0.055883406614578975,0.0386350223483095,0.06442259918181178,NA,NA,NA,NA,NA,NA,NA,NA
m4.1,s100,100,0.999136,0.656218,0.3472241777113943,0.17925916026952743,0.4002948713432072,0.17925916026952743,0.19398642606631938,0.2242004641614606,0.23792052432008337,0.46510315834437926,0.4000015486375107,0.6443595559510303,NA,NA,NA,NA,NA,NA,NA,NA
m4.1,s100,100,0.999904,0.619309,0.42116213980782324,0.16510545750516906,0.4855337139256767,0.16510545750516906,0.2338066205237014,0.24898728772568401,0.24985422308166913,0.45872103639694317,0.4529124838381471,1.548031216013273,NA,NA,NA,NA,NA,NA,NA,NA
m4.1,s100,100,0.989504,0.640919,0.28792472709300004,0.26785055272851593,0.3319319303969032,0.26785055272851593,0.1604611677020395,0.18705861468992377,0.2031847567880479,0.30581281060001214,0.32669487918899587,0.4301389693816984,NA,NA,NA,NA,NA,NA,NA,NA
m4.1,s100,100,0.997361,0.628341,0.4859922319198171,0.32875561829966066,0.5602726147481562,0.32875561829966066,0.27031042938167943,0.3017320024716894,0.3263046248647515,0.5371121395704117,0.5042917248378218,1.1181731374252595,NA,NA,NA,NA,NA,NA,NA,NA
m4.1,s100,100,0.996485,0.572824,0.4269539736007111,0.18863559002925068,0.49221078744701524,0.18863559002925068,0.23915165508217667,0.29865335334591364,0.3479862872023623,0.5578440272512218,0.4077028865326957,0.8172331604288651,NA,NA,NA,NA,NA,NA,NA,NA
