model,seed,QTLs,fst,mobility,current_fitness,future_fitness,causal_offset,causal_confounded_offset,empirical_confounded_offset,empirical_offset
m4.2,s100,100,0.35433033459485114,0.186255,0.999669,0.977582,0.00854673399717913,0.007482892607952118,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.992897,0.875189,0.023640532066085174,0.024122668352626078,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.999898,0.868497,0.04006291508898309,0.0410082990409875,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.997101,0.853972,0.03539018850704311,0.03149982250533664,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.986318,0.997414,0.0013262551988619253,0.011570513371346527,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.975245,0.917742,0.005440843457917726,0.01135475240457365,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.999997,0.834845,0.05371686459579271,0.0634860301279921,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.965191,0.953794,0.049393986571932204,0.0437014328541521,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.958539,0.895051,0.004854813106984318,0.007275299047925968,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.98898,0.8556,0.02517224520896417,0.03230730903521415,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.959675,0.714055,0.042749572562801104,0.03773801907013233,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.997529,0.967692,0.01600629835587138,0.01810935840275968,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.920249,0.999973,0.02583782489007493,0.021907073673870226,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.994673,0.999716,0.002426794982853795,0.03143453422461332,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.9965,0.9997,0.0017573709619554984,0.022819343852673077,NA,NA
m4.2,s100,100,0.35433033459485114,0.186255,0.989863,0.999851,0.0038422161652891178,0.03485305924964544,NA,NA
