model,seed,QTLs,current_fitness,future_fitness,causal_offset,empirical_offset,empirical_putative,incomplete_offset,only_QTL1_offset,only_QTL2_offset,random_offset,random_putative,env_dist
m3.3,s100,100,0.962492,0.894265,0.10710328444719809,0.01962735455193925,0.08348269892569539,0.04346959160936348,0.03641475361682238,0.03507355938694426,0.032039558078894144,0,20.181360297334457
m3.3,s100,20,0.979297,0.745781,0.20036413298056394,0.013126310486506632,0.05932983840242223,0.02509489205856045,0.0296188593811278,0.008534645068090718,0.006029239335786693,0,20.92377584361641
m3.3,s100,20,0.981134,0.933225,0.23614194713221354,0.015837051132659364,0.09681201949839204,0.021891232702193276,0.02738240033258558,0.019337869099579862,0.008957809930274776,0,20.92377584361641
m3.3,s100,20,0.999798,0.997919,0.0015235841843059,4.912677208299631e-4,8.913914361622105e-4,0.0016647857647834542,0.001641164234754217,0.0015556171553986562,0.001482285317968679,0,20.92377584361641
m3.3,s100,20,0.999647,0.891504,0.1741524758818428,0.015318278091646056,0.06874803291992847,0.030356698404134984,0.03159607924917867,0.024053017483341876,0.019154926638171213,0,20.92377584361641
m3.3,s100,20,0.994853,0.858114,0.13880162567054827,0.011198208282692029,0.05113321371251303,0.01991736496241331,0.019457376765634204,0.014496845360768524,0.00943207839117012,0,20.92377584361641
m3.3,s100,20,0.971218,0.798939,0.15870466633063046,0.011491982759592402,0.045021137698430636,0.021749332851478464,0.02036896873659241,0.010155346521404896,0.005047728921276187,0,20.92377584361641
m3.3,s100,20,0.98669,0.869954,0.1539098630193576,0.020484511428235423,0.08040583706067463,0.04062242932220799,0.06145619294876662,0.03395296439866027,0.03478875527801115,0,20.92377584361641
m3.3,s100,20,0.987978,0.819748,0.20514347247358664,0.01941681272163741,0.09775843928511721,0.03533653819491159,0.03607448280085219,0.043732767159725613,0.024622832914226594,0,20.92377584361641
m3.3,s100,20,0.980345,0.960727,0.14444423320589617,0.01247256953541742,0.04416055984077931,0.0243210574853189,0.017905671476630063,0.015707558084780825,0.008032943198149263,0,20.92377584361641
m3.3,s100,20,0.996653,0.998504,0.01928373894351725,0.008171414181058023,0.01565625686222499,0.01924601485731681,0.01915434110576515,0.02028580743909803,0.018992740863064277,0,20.92377584361641
m3.3,s100,20,0.982328,0.997718,0.02785805485138489,0.006047049744701291,0.01366124026832137,0.012807285987449362,0.014905210438714626,0.013435832676868655,0.011710599200092547,0,20.92377584361641
m3.3,s100,20,0.980786,0.940061,0.1336571486173069,0.009359680096194907,0.05031736768791349,0.0158754079172704,0.023676597363730373,0.0082781211357655,0.006601659982214991,0,20.92377584361641
m3.3,s100,20,0.988051,0.934743,0.14450931632181813,0.012963627383203799,0.05127751377803273,0.02563079832145314,0.036706614496638756,0.016032208248129693,0.015198003854860745,0,20.92377584361641
m3.3,s100,20,0.99955,0.993796,0.02385014763861929,0.004710122224747207,0.01492267464953656,0.012361796125452275,0.01129184352525069,0.015618682592695193,0.011042465164691217,0,20.92377584361641
m3.3,s100,20,0.981968,0.997823,0.06454052758317848,0.009573417237371254,0.027587930642977546,0.018368496404320353,0.015901474718739445,0.024596571797186093,0.01493164528454759,0,20.92377584361641
m3.3,s100,20,0.997424,0.793789,0.2863094481147539,0.022386434906243518,0.08484151657206915,0.04051666890833853,0.029339452340216735,0.027576490188907638,0.009881392381071831,0,20.92377584361641
m3.3,s100,20,0.996157,0.893143,0.20541853159121565,0.015144822539186656,0.09538738771877521,0.021245965790997107,0.03291523041370005,0.019735306782804767,0.011637397041580635,0,20.92377584361641
m3.3,s100,20,0.996915,0.992445,0.01817413758273785,0.0021642703744211966,0.008192309320413982,0.003867175363472584,0.003123598281425471,0.005518222560492009,0.0029415382498214028,0,20.92377584361641
m3.3,s100,20,0.988132,0.918575,0.06777474094338252,0.016111563241323564,0.05013969724159847,0.034730913469292794,0.04841498097739221,0.03275274421423829,0.03406992390661046,0,20.92377584361641
m3.3,s100,20,0.98872,0.816716,0.22698433058860168,0.0211172322246284,0.07638767098772235,0.04013396592019288,0.03787746845696929,0.033098340140914305,0.021073637198408983,0,20.92377584361641
m3.3,s100,20,0.999801,0.898851,0.13420074725996606,0.022678280389098783,0.05871335647056363,0.05393620917257107,0.04724313592074324,0.04475633262094886,0.041452310933419084,0,20.92377584361641
m3.3,s100,20,0.97,0.935052,0.010070725671979745,0.001530916658346133,0.003809051477075023,0.004031397658138669,0.002971388540804585,0.003037005093618418,0.00246523357489085,0,20.92377584361641
m3.3,s100,20,0.962606,0.750577,0.2167377743563724,0.02035275756130581,0.08539417322015294,0.03630896818586863,0.033014034192514204,0.03320566644661957,0.021673356478185704,0,20.92377584361641
m3.3,s100,20,0.991026,0.984152,0.12637389597902363,0.010677940820335978,0.06257340991234667,0.012849368405205475,0.008817936257392045,0.022094823650065463,0.006675602379792443,0,20.92377584361641
m3.3,s100,20,0.997208,0.91026,0.13420074725996606,0.02349416943016072,0.058909985931531156,0.0535762245784601,0.048227187270131214,0.048522503658629305,0.04149197754621823,0,20.92377584361641
m3.3,s100,20,0.99835,0.860467,0.2194950911599897,0.02112094432131667,0.06914235725112168,0.04759528051300241,0.031447214499059455,0.038245367601300116,0.019689377529741914,0,20.92377584361641
m3.3,s100,20,0.99796,0.880934,0.13420074725996606,0.011048295141711918,0.05878862317961104,0.019591183209257988,0.02788055263812696,0.015523025109535297,0.013057656963032536,0,20.92377584361641
m3.3,s100,20,0.989061,0.918997,0.17544719111268606,0.018005388312526644,0.06599649793290274,0.041325652838008216,0.04704820555107749,0.02888838286897729,0.026695897982476263,0,20.92377584361641
m3.3,s100,20,0.969261,0.99556,0.11067222965244519,0.015576652491694319,0.061317482343798614,0.03359922579509901,0.03502999510485833,0.03761737913419737,0.031117012508506417,0,20.92377584361641
m3.3,s100,20,0.981432,0.98333,0.003580582145895104,0.006572286040846562,0.008410766289765483,0.017218199951625116,0.01836466336272612,0.017883398879245522,0.017494406847811013,0,20.92377584361641
m3.3,s100,20,0.985236,0.919748,0.18922468110203144,0.017306876562391427,0.05603762858604671,0.04389335563919521,0.04102734369277398,0.02554249235428461,0.02194370491771937,0,20.92377584361641
m3.3,s100,20,0.968321,0.874963,0.10216885268508809,0.015118003069769974,0.05095776569344161,0.03159612235704503,0.0295919370810604,0.035669924717536605,0.028408327508872486,0,20.92377584361641
m3.3,s100,20,0.984967,0.88481,0.059711783664310236,0.006869333669715603,0.020804420010731215,0.015760784454840998,0.01456168067515979,0.010385237089582087,0.009265515473113113,0,20.92377584361641
m3.3,s100,20,0.919412,0.990304,0.19540091839030377,0.018818521790006492,0.06803691241963354,0.03020849749561587,0.025181318658489965,0.036286796918173374,0.016595533780618107,0,20.92377584361641
m3.3,s100,20,0.995698,0.995537,0.01817413758273785,0.004430180431972551,0.011951662171493216,0.01193068230884351,0.012091196317207462,0.012299641442534289,0.011758428518523108,0,20.92377584361641
m3.3,s100,20,0.963481,0.93863,0.19540091839030377,0.016279662584553135,0.06925223211941416,0.025976322965497598,0.012537105927100013,0.029746550458701174,0.007377981441615875,0,20.92377584361641
m3.3,s100,20,0.994556,0.855248,0.13880162567054827,0.009829663015570558,0.059445099805536535,0.014610217472065335,0.02235979570161071,0.01111866443650376,0.007443912168296868,0,20.92377584361641
m3.3,s100,20,0.988863,0.866017,0.13185014053740407,0.00994909017425036,0.038517309046231823,0.017903470769524043,0.01692552669850906,0.010933877092267126,0.005056315424923831,0,20.92377584361641
m3.3,s100,20,0.968997,0.867545,0.25119427861181814,0.02076346713645037,0.07997106226201682,0.03672547331805011,0.02181172520579065,0.030529108339711505,0.00966657947266742,0,20.92377584361641
m3.3,s100,20,0.995783,0.98464,0.03929768054025704,0.004197228533174635,0.01937487043942486,0.00919140916926425,0.011554550022677081,0.008436985636345542,0.007033358251648153,0,20.92377584361641
m3.3,s100,20,0.984099,0.914343,0.10004186361984294,0.008150923965671252,0.03248342482946937,0.01820593699308235,0.018471226655133056,0.009654712127286021,0.00866786255614845,0,20.92377584361641
