seed,QTLs,Method,scenario,shifted_fitness,offset_causal,offset_empirical,offset_incomplete,offset_only_QTL1,offset_only_QTL2
s100,100,Geometric GO,Local adaptation,0.906222,0.05675413654928115,0.009582792375019453,0.006364710808251755,0.004019258661463768,0.005684220114646619
s100,100,Geometric GO,Local adaptation,0.786529,0.13112679632449048,0.016936010794150545,0.01504559773341737,0.012327451420983872,0.016531256277333425
s100,100,Geometric GO,Local adaptation,0.776703,0.09202231825615992,0.016560729345245762,0.007945848203641647,0.007055928432507385,0.007822790337097596
s100,100,Geometric GO,Local adaptation,0.854975,0.0453027695552265,0.005580022700491667,0.004816220608475228,0.006530711530452179,0.00324339881731554
s100,100,Geometric GO,Local adaptation,0.790085,0.1554741102258208,0.028725339581804617,0.012813816137552992,0.01809036936400736,0.011363581354822096
s100,100,Geometric GO,Local adaptation,0.983179,0.017716143716779306,0.0033707218459691156,0.003772704489035494,0.0014901871682405058,0.00498843741792576
s100,100,Geometric GO,Local adaptation,0.949238,0.06485462747665725,0.010010962297270316,0.006371444860693599,0.012511372595904026,0.004109343560944633
s100,100,Geometric GO,Local adaptation,0.870957,0.08821409718664988,0.015191983543711481,0.011360220311829611,0.022810297987420923,0.006018709672535627
s100,100,Geometric GO,Local adaptation,0.785805,0.14490805064319903,0.020550778942656604,0.012016716379204052,0.019882932573683433,0.013120366213162295
s100,100,Geometric GO,Local adaptation,0.90529,0.13930430251847623,0.016901429726342888,0.00904346338648157,0.014673648031122002,0.01808392078687417
s100,100,Geometric GO,Local adaptation,0.891638,0.13685185923826523,0.018742329843489572,0.011471513155952453,0.014770468567159628,0.008378846281956625
s100,100,Geometric GO,Local adaptation,0.973951,0.00863939755471344,0.0014500288461184823,0.0010476010217566577,0.005131091827814715,0.00229641819198036
s100,100,Geometric GO,Local adaptation,0.924148,0.06506885355190582,0.011190849697850952,0.018267316936143644,0.0026329448585999775,0.007509467168308374
s100,100,Geometric GO,Local adaptation,0.864162,0.11488132852046735,0.014491376763280401,0.013897322173469877,0.009584428966231054,0.008297534087721749
s100,100,Geometric GO,Local adaptation,0.865131,0.06739524360760568,0.013705581039442484,0.011751382265869508,0.010632771079966822,0.016037981006818955
s100,100,Geometric GO,Local adaptation,0.942249,0.09255791351631615,0.010693617360460572,0.007037881248043272,0.013912874121142983,0.007245184240361826
s100,100,Geometric GO,Local adaptation,0.756907,0.12516494584755428,0.016561834509136855,0.00781741009155114,0.01983483636514772,0.009729740198852742
