model,seed,QTLs,current_fitness,future_fitness,causal_offset,causal_counfounded_offset,empirical_offset,empirical_counfounded_offset,causal_random_1_offset,causal_random_6_offset,causal_random_11_offset,causal_random_16_offset,causal_random_21_offset,causal_random_26_offset,causal_random_31_offset,causal_random_36_offset,causal_random_41_offset,causal_random_46_offset,causal_random_51_offset,causal_random_56_offset,causal_random_61_offset,causal_random_66_offset
m4.1,s100,100,0.974561,0.833777,0.31149284264863936,0.30339289877206965,0.03077876588711148,0.03168695432192564,0.03155456409791456,0.038362742917010535,0.042579547270540793,0.04939870785035338,0.06227923275796665,0.07347873564049694,0.07741477636071399,0.11010475281576784,0.1354426541720052,0.15809272862787188,0.17368388834245374,0.1707485133022856,0.20335532353025582,0.22522220856207392
m4.1,s100,100,0.994707,0.859517,0.19296910454754723,0.20968385041024606,0.01906737516602916,0.023385547906321448,0.020537702646613743,0.025622141232808683,0.02931125241260769,0.04265293827452206,0.05082256206008094,0.0639236883767525,0.06961696636828824,0.07541066092207349,0.11113033475599478,0.12973798605392575,0.15246779873913324,0.15886237909627196,0.17689407428315923,0.18900238858267257
m4.1,s100,100,0.981053,0.450293,0.5153935847832316,0.5072099185945284,0.050926301711708116,0.05149486871408543,0.05040906391515406,0.05902935835940181,0.0739539600135068,0.0790599064587097,0.09096512754554337,0.09534445053128159,0.12152142299680455,0.18708998381449515,0.23215409178336158,0.25700529438881153,0.2672795888815613,0.28601964823042253,0.3578449773989456,0.5287574025229355
m4.1,s100,100,0.990044,0.602821,0.5954815276544313,0.5864874789026424,0.05883983199719693,0.059568719214481876,0.0579266831023857,0.070159690792382,0.09207568458345193,0.10897408157138214,0.12807715751423313,0.13587477306623874,0.1464073861634978,0.1776035410928351,0.1993352190496295,0.2946635363198794,0.3188187523702925,0.3107678015117625,0.3658263202526198,0.3512959629703398
m4.1,s100,100,0.992202,0.985775,0.03919130861860122,0.12222712535125875,0.0038725130970091344,0.027486577532341374,0.004545839508662557,0.00788708300098641,0.01466547754048535,0.02763127126422625,0.03845102014555529,0.054383754641029264,0.07429927856487024,0.09088022919372873,0.09577559669877866,0.11026277119089913,0.1208853231710478,0.16901851014694302,0.18944763305870924,0.2679817490928915
m4.1,s100,100,0.9994,0.737726,0.25119512714140013,0.2586539465745917,0.024820718012417965,0.03040300952086099,0.024422871836128117,0.03567894802916218,0.061718807576132614,0.08733102265715288,0.10211997609528868,0.12386209228457479,0.15878282548712727,0.20678973513153687,0.23149576819549253,0.2600708795745841,0.30982609612350454,0.35525331152513395,0.41121012671469787,0.4773897457723773
m4.1,s100,100,0.999952,0.814554,0.1798473087327158,0.18059995720693744,0.017770803861311447,0.018613654425910803,0.017658120040545133,0.030483101132508312,0.04536583579965514,0.04881374269686969,0.0490503764541698,0.05723145624667011,0.075695273741307,0.07760881941750832,0.09721213014706798,0.10060818339898833,0.12185078312868959,0.1346953804555142,0.15539903551424267,0.1612265687915138
m4.1,s100,100,0.996916,0.885795,0.07745980807223944,0.20616008623990234,0.007653842952036317,0.039580277300581064,0.0125251395095011,0.023436846283065835,0.034079850559624404,0.04484866740869008,0.05458174186852054,0.05930528613049214,0.0767965161304378,0.08061514865519973,0.08928679086332143,0.12723074108432827,0.14532991518499702,0.16610871355593101,0.2096848086163159,0.270583439116778
m4.1,s100,100,0.996375,0.983262,0.004388319693088193,0.004487004416781514,4.3361209626160366e-4,4.703524024731306e-4,0.004758227716100236,0.015273943594853134,0.02191703238952503,0.030314898062250236,0.0351603634631549,0.0390282366988674,0.040834314599454906,0.05275315001641949,0.06955476716970933,0.07444967348859255,0.11737130230742028,0.13899607775459769,0.1480097301733327,0.16441249612082084
m4.1,s100,100,0.999136,0.656218,0.3472241777113947,0.3597183216389243,0.03430939724088229,0.042710883615512965,0.03607466911901263,0.04985557988442614,0.06503561606875537,0.08504477036918213,0.10491981541396204,0.11345715097715052,0.12587654772335055,0.15098651439222652,0.15246263505790705,0.18158286816748437,0.17936473092872163,0.2642669564191355,0.2627364140360556,0.3178757446981505
m4.1,s100,100,0.999904,0.619309,0.42116213980782374,0.4093347991300041,0.0416152448044589,0.04238607386379394,0.041446174803328045,0.045064080991605755,0.04743686328845977,0.049596868578602994,0.05990149431944494,0.06948907797952747,0.08878611628197433,0.09132935182926102,0.13291869567986153,0.1700420081569778,0.19562008831827757,0.25571497436095914,0.30984797270000414,0.32113698352720293
