file,method,climate_change_rate,generation_since,causal2empirical_mean,causal2empirical_std,causal2neglog_mean,causal2neglog_std,empirical2neglog_mean,empirical2neglog_std
steps/msprime/thyme_501_n5.tree,geometric_default,0.2,0,0.9899181577130467,0.0063164060487741055,0.14573437495065056,0.11494871516813307,0.13334815514742243,0.08989944556308603
steps/msprime/thyme_501_n5.tree,geometric_high,0.2,0,0.7888637496924222,0.1335809081334126,0.3562697386465171,0.09272378705047823,0.29393236168625586,0.08679123415044633
steps/msprime/thyme_501_n5.tree,gradient_forest,0.2,0,0.3789112458234693,0.4696712029187649,0.4070717936416349,0.07019368738367872,0.08705809498676371,0.28702224520132613
steps/msprime/thyme_501_n5.tree,rda,0.2,0,0.9933214547120386,0.004728516780997046,0.030233335662806733,0.09721986937084806,-0.0032176388020288436,0.07981279072978073
steps/msprime/thyme_501_n5.tree,rona,0.2,0,0.992127714932961,0.0060232456853788275,0.030593949916879637,0.10207629728641804,0.0033656661178913918,0.09039295899168931
steps/msprime/thyme_501_n5.tree,geometric_default,0.2,0,0.9932144658605042,0.006437474606344796,0.015170891397540076,0.08434445145635938,0.023963787935907838,0.08316416141787546
steps/msprime/thyme_501_n5.tree,geometric_high,0.2,0,0.9358206137312587,0.049859231562818115,0.3035213731799053,0.0801963291984633,0.2438653190360512,0.11307864511751196
steps/msprime/thyme_501_n5.tree,gradient_forest,0.2,0,0.4551546873854641,0.14361424907431847,0.2763325809519426,0.062382850702679384,0.18936091278318973,0.11334641995565996
steps/msprime/thyme_501_n5.tree,rda,0.2,3,0.5601735259029325,0.33372186043347707,0.0938054778180682,0.05340178080635003,0.06461282295531498,0.04819820647332797
steps/msprime/thyme_501_n5.tree,rona,0.2,3,0.5870076515545463,0.19672270190736899,0.13319306748658089,0.05773620627857465,0.07966306205792532,0.08023035122434397
steps/msprime/thyme_501_n5.tree,geometric_default,0.2,3,0.5860631985556664,0.1924957771363382,0.07121608948438565,0.03697467610301862,0.08589390096297271,0.0839376317859841
steps/msprime/thyme_501_n5.tree,geometric_high,0.2,3,0.5088266757488806,0.3269815954062826,0.1862990939483663,0.11180046539799475,0.11541637440575911,0.07302891363111691
steps/msprime/thyme_501_n5.tree,gradient_forest,0.2,3,0.25867994439761793,0.12182700846913977,0.17018471501324756,0.08684666059083622,0.1250825609023726,0.07042664082910649
steps/msprime/thyme_501_n5.tree,rda,0.2,2,0.8388080519619059,0.07684742843116861,0.15469031655266555,0.10182727386789427,0.15431880507353474,0.09304970275964668
steps/msprime/thyme_501_n5.tree,rona,0.2,2,0.8694428909378816,0.05167981901437589,0.1374675765519296,0.07314714723722464,0.12752100097419702,0.06696518698389514
steps/msprime/thyme_501_n5.tree,geometric_default,0.2,2,0.8960775435210083,0.07983290341495433,0.12851105831964862,0.041651735944570126,0.1162718303099736,0.06671901519928558
steps/msprime/thyme_501_n5.tree,geometric_high,0.2,2,0.8695533308974699,0.09607516190010658,0.2399067635510333,0.025754506489956346,0.23176560899030235,0.025639139201731408
steps/msprime/thyme_501_n5.tree,gradient_forest,0.2,2,0.3682261645996506,0.2669684672529051,0.24492071507748747,0.06111131565901871,0.11350545909694634,0.17121472296874993
steps/msprime/thyme_501_n5.tree,rda,0.2,2,0.4937750809903233,0.3022768758165855,0.02079982381477402,0.07127155734658068,0.20135083976699536,0.14093241321160063
steps/msprime/thyme_501_n5.tree,rona,0.2,2,0.6475109063965336,0.280709508951809,0.05006567152857999,0.0771661205043612,0.1628219089178584,0.12790934640784415
steps/msprime/thyme_501_n5.tree,geometric_default,0.2,2,0.7424720012534163,0.20534326525306873,0.03552654535447415,0.08454767412698834,0.07740806138082548,0.20704574405456125
steps/msprime/thyme_501_n5.tree,geometric_high,0.2,2,0.9400441335092922,0.048281603407182905,0.21856893450487921,0.1386022888197692,0.1815432108987281,0.16269357418129915
steps/msprime/thyme_501_n5.tree,gradient_forest,0.2,2,0.6910719690783782,0.28432221376894634,0.2064786665282158,0.09193731001217845,0.10826184918735311,0.12331251367272864
steps/msprime/thyme_501_n5.tree,rda,0.2,2,0.5931036746130288,0.12212450337835272,0.19448256822828822,0.08654029165898362,0.02122657420980254,0.1095938054167289
steps/msprime/thyme_501_n5.tree,rona,0.2,2,0.7640243043063848,0.12990480489441655,0.14837150734823665,0.05100184130750583,0.03130657208823619,0.0660968681405799
steps/msprime/thyme_501_n5.tree,geometric_default,0.2,2,0.7816151524270346,0.12688547414308124,0.12177228474792227,0.08172485898574323,-0.009044234031838261,0.07073150076264657
steps/msprime/thyme_501_n5.tree,geometric_high,0.2,2,0.81303363085376,0.1119139970708224,0.2839343335355059,0.06557616761914299,0.17540380664712324,0.1082967648292004
steps/msprime/thyme_501_n5.tree,gradient_forest,0.2,2,0.27758401803488686,0.263868594393898,0.28421003394189065,0.04956690480887054,0.17946382201452674,0.11171309295366232
steps/msprime/thyme_501_n5.tree,rda,0.2,0,0.9843478305096317,0.015332774332538752,0.13938238302842826,0.08695066528856188,0.13976949454684476,0.06371202268865897
steps/msprime/thyme_501_n5.tree,rona,0.2,0,0.9796565328698936,0.023751544073009397,0.1173067140495756,0.10426275292040718,0.13371314425046438,0.08545887832422404
steps/msprime/thyme_501_n5.tree,geometric_default,0.2,0,0.9798212749768946,0.021090439707444935,0.1170407089573809,0.08338021165560376,0.12552799303809337,0.12336238784559464
steps/msprime/thyme_501_n5.tree,geometric_high,0.2,0,0.8461059012399641,0.17128471032289366,0.2884539149843591,0.09216076983471365,0.3066644997498752,0.0758014366286571
steps/msprime/thyme_501_n5.tree,gradient_forest,0.2,0,0.557906054804641,0.20371516064934908,0.3517193770642516,0.09724021985250415,0.2528477091625594,0.11200045241107116
steps/msprime/thyme_501_n20.tree,rda,0.05,13,0.2695963540981442,0.2580369163294381,-0.01951838484739086,0.07714325322826494,0.12768175722699254,0.10491621877326342
steps/msprime/thyme_501_n20.tree,rona,0.05,13,0.5176275907702202,0.2690652620319728,0.012421553464988456,0.06068560931827941,0.0818080781873313,0.1044985825849689
steps/msprime/thyme_501_n20.tree,geometric_default,0.05,13,0.6325457896685638,0.25615094897146623,0.07041107978301554,0.03548891480816408,0.06635579403624618,0.09501906178123544
steps/msprime/thyme_501_n20.tree,geometric_high,0.05,13,0.6005044498171227,0.24361152790930646,0.10213991784499084,0.08288807406232691,0.06015487646750524,0.06511520411921885
