id,longitude,latitude,time,mean_2m_air_temperature,minimum_2m_air_temperature,maximum_2m_air_temperature,dewpoint_2m_temperature,total_precipitation,surface_pressure,mean_sea_level_pressure,u_component_of_wind_10m,v_component_of_wind_10m,site_id
199309,3.7183290819096246,43.80905325067007,1993-09-01,287.2912902832031,275.2085876464844,297.5353698730469,282.6241455078125,0.17008329927921295,93795.2578125,101308.78125,0.6760591864585876,-0.6103649735450745,8
199310,3.7183290819096246,43.80905325067007,1993-10-01,283.3599548339844,274.61663818359375,292.1610412597656,280.3696594238281,0.17041084170341492,93717.890625,101304.6640625,0.08031434565782547,-0.5589318871498108,8
199311,3.7183290819096246,43.80905325067007,1993-11-01,278.05224609375,268.1515197753906,289.94964599609375,274.9473571777344,0.16482722759246826,94070.453125,101800.578125,0.43927696347236633,-1.140834927558899,8
199312,3.7183290819096246,43.80905325067007,1993-12-01,278.4483337402344,269.036376953125,287.0320129394531,275.4114074707031,0.055031582713127136,94115.8515625,101879.2265625,3.1294169425964355,-1.6917226314544678,8
199401,3.7183290819096246,43.80905325067007,1994-01-01,277.0434875488281,268.0965881347656,286.6614990234375,273.49346923828125,0.057854488492012024,94105.1640625,101895.0859375,2.5090768337249756,-1.9807424545288086,8
199402,3.7183290819096246,43.80905325067007,1994-02-01,277.11724853515625,262.7250061035156,288.3995666503906,274.4477844238281,0.19182609021663666,93758.140625,101521.15625,0.6141695976257324,-0.7618616819381714,8
199403,3.7183290819096246,43.80905325067007,1994-03-01,282.7267761230469,274.1489562988281,295.45977783203125,277.3078918457031,0.007096323184669018,94546.5390625,102227.1640625,1.7087244987487793,-1.6346018314361572,8
199404,3.7183290819096246,43.80905325067007,1994-04-01,280.8549499511719,272.485107421875,296.5323486328125,276.5330810546875,0.1342107206583023,93710.953125,101399.6796875,2.2727341651916504,-1.9050313234329224,8
199405,3.7183290819096246,43.80905325067007,1994-05-01,286.80120849609375,278.8137512207031,299.26080322265625,282.1066589355469,0.09252053499221802,93798.1484375,101333.0234375,0.10594052076339722,-0.22765621542930603,8
199406,3.7183290819096246,43.80905325067007,1994-06-01,290.4193115234375,281.0477294921875,304.2406005859375,283.324951171875,0.06925073266029358,94370.8984375,101889.3984375,1.130194902420044,-1.5444025993347168,8
